,word,old,young,old+,young+,variance,total
0,children,0.013484373008541507,0.03298492293698272,-0.009750274964220608,0.009750274964220606,0.03563472262544177,0.04646929594552423
1,young,0.006460185044236185,0.03377324251353368,-0.01365652873464875,0.01365652873464875,0.03438554784620614,0.04023342755776987
2,old,0.026265201967349244,0.006616303419519619,0.009824449273914813,-0.009824449273914812,0.027085721428915153,0.03288150538686886
3,people,0.015750536731141865,0.019866139308272492,-0.0020578012885653155,0.002057801288565312,0.02535237460938795,0.03561667603941436
4,child,0.0097232679291916,0.020036517986236187,-0.005156625028522294,0.005156625028522294,0.022271147079475098,0.029759785915427786
5,new,0.01587697531428312,0.01278529514031389,0.0015458400869846137,-0.0015458400869846154,0.020384850182311606,0.02866227045459701
6,time,0.013972399569772228,0.012954504295486923,0.000508947637142652,-0.000508947637142652,0.01905379571841685,0.02692690386525915
7,years,0.013765579097352517,0.011870654096033615,0.000947462500659451,-0.000947462500659451,0.018177007359660394,0.02563623319338613
8,students,0.007109971036366237,0.015567003413746394,-0.004228516188690078,0.004228516188690079,0.017113833101370327,0.02267697445011263
9,school,0.007659270821636928,0.01511774675170362,-0.0037292379650333465,0.0037292379650333465,0.016947291711887896,0.02277701757334055
10,like,0.011899755023422942,0.010612263972376254,0.0006437455255233447,-0.000643745525523343,0.015944413323696626,0.022512018995799195
11,life,0.010295543013502467,0.011671265149974741,-0.0006878610682361369,0.0006878610682361369,0.015563310577891015,0.02196680816347721
12,world,0.010647951397226992,0.010926062487374473,-0.0001390555450737404,0.0001390555450737404,0.015256398999623728,0.021574013884601465
13,women,0.007092917449953504,0.013440402192326728,-0.003173742371186611,0.003173742371186613,0.015197167138758329,0.02053331964228023
14,said,0.009576840747103776,0.010501351424508946,-0.00046225533870258503,0.00046225533870258503,0.014212468484975552,0.020078192171612722
15,health,0.006952696978183386,0.012239118562015192,-0.0026432107919159026,0.0026432107919159026,0.014076079654701631,0.019191815540198578
16,use,0.009753681827732183,0.009171472991289533,0.00029110441822132425,-0.000291104418221326,0.013388436280110775,0.018925154819021718
17,age,0.008282877914057544,0.010488515760254793,-0.0011028189230986255,0.0011028189230986238,0.013364693389385911,0.01877139367431234
18,make,0.009386748106021203,0.009197466568041674,9.464076898976423e-05,-9.464076898976423e-05,0.013141705797807867,0.018584214674062877
19,work,0.008703628183357051,0.009685505902038349,-0.0004909388593406488,0.0004909388593406488,0.013021603900155575,0.0183891340853954
20,water,0.010646914809832144,0.007471787150061316,0.001587563829885414,-0.001587563829885414,0.013007090304278065,0.01811870195989346
21,day,0.009190757847307433,0.00918858056495431,1.0886411765612808e-06,-1.0886411765612808e-06,0.012996154916224231,0.018379338412261744
22,just,0.009752009082001061,0.008377347063298742,0.0006873310093511598,-0.0006873310093511598,0.012856190141499588,0.018129356145299803
23,education,0.004616775054923243,0.011739566433215016,-0.0035613956891458864,0.0035613956891458864,0.012614754533784247,0.01635634148813826
24,year,0.009041946107095718,0.008373603503818643,0.0003341713016385365,-0.0003341713016385382,0.012323717987798459,0.017415549610914363
25,help,0.007112213521223945,0.010051165016039127,-0.001469475747407592,0.0014694757474075903,0.01231298092872435,0.017163378537263074
26,way,0.009017381288354486,0.008371421764903951,0.0003229797617252672,-0.0003229797617252672,0.012304221538377517,0.017388803053258437
27,family,0.0072411563064222915,0.009501369904167991,-0.0011301067988728495,0.0011301067988728503,0.011946144763473636,0.016742526210590282
28,parents,0.004636356422452416,0.01089728772323291,-0.0031304656503902467,0.0031304656503902467,0.011842579136275108,0.015533644145685326
29,war,0.008484493948958104,0.007583159594949542,0.0004506671770042811,-0.0004506671770042811,0.011379408904349205,0.016067653543907646
30,social,0.005918947847294059,0.009652702825330059,-0.001866877489018,0.001866877489018,0.011322924333100611,0.015571650672624117
31,kids,0.005102367336225883,0.01003699701426695,-0.0024673148390205327,0.0024673148390205336,0.011259460977248796,0.015139364350492832
32,learning,0.004982567996505588,0.010024055233951482,-0.0025207436187229468,0.0025207436187229468,0.011194090725606606,0.01500662323045707
33,used,0.008984983462186492,0.006664816513674294,0.001160083474256099,-0.0011600834742560998,0.011187032983624853,0.015649799975860787
34,good,0.008128700415958963,0.007534685995679918,0.0002970072101395223,-0.0002970072101395223,0.011083648474482871,0.01566338641163888
35,great,0.00809363830483753,0.007164321736960447,0.0004646582839385417,-0.0004646582839385417,0.010809000275706226,0.015257960041797978
36,need,0.007262810970203487,0.007857847672109928,-0.00029751835095322057,0.00029751835095322057,0.010700195943392415,0.015120658642313415
37,history,0.007902314287219618,0.006765198711652947,0.0005685577877833359,-0.0005685577877833359,0.010402619127034595,0.014667512998872565
38,god,0.008322335770612992,0.0062269744575920855,0.0010476806565104533,-0.0010476806565104533,0.010394060013985334,0.014549310228205077
39,men,0.006586505234849987,0.00788019523725416,-0.0006468450012020862,0.0006468450012020871,0.010270322691422574,0.014466700472104146
40,know,0.007278852563012667,0.007118445876491236,8.02033432607159e-05,-8.020334326071504e-05,0.010181059194927173,0.014397298439503901
41,book,0.006345616210064708,0.007960852604542212,-0.0008076181972387518,0.0008076181972387526,0.01018047244859896,0.01430646881460692
42,early,0.006298552714497208,0.007946562385064252,-0.0008240048352835217,0.0008240048352835226,0.010140000988018599,0.014245115099561459
43,study,0.005771853537834723,0.008185264930097134,-0.0012067056961312054,0.0012067056961312054,0.010015630546205927,0.013957118467931857
44,food,0.006466172142012873,0.007482605572927649,-0.0005082167154573883,0.0005082167154573875,0.009889427098176681,0.013948777714940522
45,man,0.00735328248259945,0.006580303228276964,0.0003864896271612425,-0.00038648962716124335,0.009867682293475817,0.013933585710876415
46,did,0.0073702384014483775,0.006386080413210898,0.0004920789941187395,-0.0004920789941187395,0.009752047843308615,0.013756318814659276
47,home,0.006722968352444094,0.006844479468092913,-6.075555782440907e-05,6.075555782440994e-05,0.00959401910864838,0.013567447820537006
48,important,0.006196462910602498,0.007289421886411638,-0.0005464794879045699,0.0005464794879045699,0.009567226559487831,0.013485884797014135
49,research,0.00537823109401564,0.007767395018145663,-0.001194581962065011,0.001194581962065012,0.00944763436361456,0.013145626112161302
